nohup: ignoring input
corn10 2016 1
corn10 2016 2
corn10 2016 3
corn10 2016 4
corn10 2016 5
corn10 2016 6
corn10 2016 7
corn10 2016 8
corn10 2016 9
corn10 2016 10
corn10 2016 11
corn10 2016 12
corn11 2016 1
corn11 2016 2
corn11 2016 3
corn11 2016 4
corn11 2016 5
corn11 2016 6
corn11 2016 7
corn11 2016 8
corn11 2016 9
corn11 2016 10
corn11 2016 11
corn11 2016 12
corn12 2016 1
corn12 2016 2
corn12 2016 3
corn12 2016 4
corn12 2016 5
corn12 2016 6
corn12 2016 7
corn12 2016 8
corn12 2016 9
corn12 2016 10
corn12 2016 11
corn12 2016 12
south1 2016 1
south1 2016 2
south1 2016 3
south1 2016 4
south1 2016 5
south1 2016 6
south1 2016 7
south1 2016 8
south1 2016 9
south1 2016 10
south1 2016 11
south1 2016 12
south2 2016 1
south2 2016 2
south2 2016 3
south2 2016 4
south2 2016 5
south2 2016 6
south2 2016 7
south2 2016 8
south2 2016 9
south2 2016 10
south2 2016 11
south2 2016 12
south3 2016 1
south3 2016 2
south3 2016 3
south3 2016 4
south3 2016 5
south3 2016 6
south3 2016 7
south3 2016 8
south3 2016 9
south3 2016 10
south3 2016 11
south3 2016 12
south4 2016 1
south4 2016 2
south4 2016 3
south4 2016 4
south4 2016 5
south4 2016 6
south4 2016 7
south4 2016 8
south4 2016 9
south4 2016 10
south4 2016 11
south4 2016 12
south5 2016 1
south5 2016 2
south5 2016 3
south5 2016 4
south5 2016 5
south5 2016 6
south5 2016 7
south5 2016 8
south5 2016 9
south5 2016 10
south5 2016 11
south5 2016 12
south6 2016 1
south6 2016 2
south6 2016 3
south6 2016 4
south6 2016 5
south6 2016 6
south6 2016 7
south6 2016 8
south6 2016 9
south6 2016 10
south6 2016 11
south6 2016 12
south7 2016 1
south7 2016 2
south7 2016 3
south7 2016 4
south7 2016 5
south7 2016 6
south7 2016 7
south7 2016 8
south7 2016 9
south7 2016 10
south7 2016 11
south7 2016 12
south8 2016 1
south8 2016 2
south8 2016 3
south8 2016 4
south8 2016 5
south8 2016 6
south8 2016 7
south8 2016 8
south8 2016 9
south8 2016 10
south8 2016 11
south8 2016 12
south9 2016 1
south9 2016 2
south9 2016 3
south9 2016 4
south9 2016 5
south9 2016 6
south9 2016 7
south9 2016 8
south9 2016 9
south9 2016 10
south9 2016 11
south9 2016 12
south10 2016 1
south10 2016 2
south10 2016 3
south10 2016 4
south10 2016 5
south10 2016 6
south10 2016 7
south10 2016 8
south10 2016 9
south10 2016 10
south10 2016 11
south10 2016 12
cali1 2018 1
cali1 2018 2
cali1 2018 3
cali1 2018 4
cali1 2018 5
cali1 2018 6
cali1 2018 7
cali1 2018 8
cali1 2018 9
cali1 2018 10
cali1 2018 11
cali1 2018 12
cali2 2018 1
cali2 2018 2
cali2 2018 3
cali2 2018 4
cali2 2018 5
cali2 2018 6
cali2 2018 7
cali2 2018 8
cali2 2018 9
cali2 2018 10
cali2 2018 11
cali2 2018 12
cali3 2018 1
cali3 2018 2
cali3 2018 3
cali3 2018 4
cali3 2018 5
cali3 2018 6
cali3 2018 7
cali3 2018 8
cali3 2018 9
cali3 2018 10
cali3 2018 11
cali3 2018 12
cali4 2018 1
cali4 2018 2
cali4 2018 3
cali4 2018 4
cali4 2018 5
cali4 2018 6
cali4 2018 7
cali4 2018 8
cali4 2018 9
cali4 2018 10
cali4 2018 11
cali4 2018 12
cali5 2018 1
cali5 2018 2
cali5 2018 3
cali5 2018 4
cali5 2018 5
cali5 2018 6
cali5 2018 7
cali5 2018 8
cali5 2018 9
cali5 2018 10
cali5 2018 11
cali5 2018 12
cali6 2018 1
cali6 2018 2
cali6 2018 3
cali6 2018 4
cali6 2018 5
cali6 2018 6
cali6 2018 7
cali6 2018 8
cali6 2018 9
cali6 2018 10
cali6 2018 11
cali6 2018 12
cali7 2018 1
cali7 2018 2
cali7 2018 3
cali7 2018 4
cali7 2018 5
cali7 2018 6
cali7 2018 7
cali7 2018 8
cali7 2018 9
cali7 2018 10
cali7 2018 11
cali7 2018 12
cali8 2018 1
cali8 2018 2
cali8 2018 3
cali8 2018 4
cali8 2018 5
cali8 2018 6
cali8 2018 7
cali8 2018 8
cali8 2018 9
cali8 2018 10
cali8 2018 11
cali8 2018 12
cali9 2018 1
cali9 2018 2
cali9 2018 3
cali9 2018 4
cali9 2018 5
cali9 2018 6
cali9 2018 7
cali9 2018 8
cali9 2018 9
cali9 2018 10
cali9 2018 11
cali9 2018 12
cali10 2018 1
cali10 2018 2
cali10 2018 3
cali10 2018 4
cali10 2018 5
cali10 2018 6
cali10 2018 7
cali10 2018 8
cali10 2018 9
cali10 2018 10
cali10 2018 11
